userid,sessionNo,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,mostFrequentItemAction
310,1,13,181,181,13.923076923076923,15.359370312947613,1.0833333333333333,0.28867513459481287,3.25,1.5,56019 window
310,2,2,449,449,224.5,317.49094475275984,1.0,0.0,1.0,0.0,501512 window
310,3,59,2794,2794,47.35593220338985,87.02868387865288,1.18,0.43752550946038693,2.3600000000000003,2.413158373031769,892570 v4
206,1,2,34,34,17.0,24.041630560342615,1.0,0.0,1.0,0.0,0 play_pause_button
206,2,77,287,287,3.7272727272727244,6.2294638690415205,1.5098039215686274,0.880285158789079,12.833333333333332,15.223884742951341,0 back_button
206,3,112,2776,2776,24.78571428571426,36.8171592807378,1.0,0.0,3.111111111111111,2.538591035287969,0 next_button
223,1,7,175,175,25.0,30.69744831958079,1.0,0.0,1.75,0.9574271077563381,0 play_pause_button
223,2,45,1782,1782,39.6,37.250015253200054,1.0,0.0,1.8,1.0801234497346435,0 next_button
412,1,56,2897,2897,51.732142857142854,98.99669251985202,1.3333333333333335,0.7213357077339457,2.24,1.8991226044325482,2147483647 v3
319,1,143,4252,4252,29.734265734265712,93.47025971609195,1.74390243902439,1.9614241211316168,4.931034482758621,8.79501090100339,5339 v4
303,1,36,2283,2283,63.416666666666664,116.72149391974533,1.5,1.0215078369104984,2.25,2.816617356570348,2147483647 v4
408,1,53,2872,2872,54.18867924528301,103.31003685765364,1.5142857142857142,0.981338478856319,2.7894736842105265,2.780466534962575,2147483647 v3
106,1,3,52,52,17.333333333333332,21.22105872319601,1.0,0.0,3.0,0.0,0 play_pause_button
106,2,23,212,212,9.217391304347824,13.218294903583546,1.0454545454545454,0.21320071635561053,5.75,4.645786621588784,0 back_button
108,1,34,3188,3188,93.76470588235294,219.42943351413712,1.096774193548387,0.3962186862224295,2.615384615384616,2.103111248383433,4299045 tab-r3
406,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,4755 window
306,1,10,150,150,15.0,29.017236257093817,1.1111111111111112,0.33333333333333337,3.3333333333333335,2.081665999466133,103524 v4
306,2,4,0,0,0.0,0.0,4.0,0.0,4.0,0.0,4653207 window
306,3,73,2453,2453,33.60273972602741,70.32163009385032,1.8249999999999997,1.0349656255904571,4.5625,6.109759951640217,307909 v4
306,4,10,563,563,56.29999999999999,112.38529955272422,1.1111111111111112,0.3333333333333334,3.3333333333333335,1.5275252316519465,63204 window
325,1,177,1096,1096,6.192090395480214,53.46385083562162,4.538461538461538,2.4904676568463144,35.4,76.36294913110677,240470 v4
325,2,4,150,150,37.5,72.34408522240548,1.0,0.0,1.3333333333333333,0.5773502691896257,1123391 window
325,3,2,1,1,0.5,0.7071067811865476,1.0,0.0,2.0,0.0,3501474 window
325,4,8,1796,1796,224.5,576.7301919318203,1.1428571428571428,0.37796447300922725,2.6666666666666665,1.1547005383792515,6492140 window
325,5,2,3,3,1.5,2.1213203435596424,1.0,0.0,2.0,0.0,8504026 window
325,6,36,4324,4324,120.11111111111113,295.8754349652451,1.0588235294117647,0.23883257361061294,1.6363636363636362,1.2926699776028183,2188642 v4
321,1,10,1767,1767,176.70000000000002,267.05806692760865,1.1111111111111112,0.33333333333333337,1.6666666666666667,0.816496580927726,3389 window
301,1,36,316,316,8.777777777777779,20.14108964439343,1.2857142857142858,0.4600437062282362,7.2,7.19027120489902,192838 v4
409,1,282,2691,2691,9.542553191489374,36.52776399141428,2.6857142857142855,3.414658124891874,11.279999999999998,19.588517044431928,2104322 v2
213,1,5,84,84,16.8,28.761084819596082,1.0,0.0,2.5,2.1213203435596424,0 cooking_for
304,1,47,1962,1962,41.744680851063826,82.61131307017544,1.205128205128205,0.46901280307332094,2.764705882352941,3.5799687806722886,2147483647 v4
317,1,21,4373,4373,208.23809523809527,375.8359887985589,1.105263157894737,0.3153017676423058,1.6153846153846154,0.869718492622904,205779 v4
323,1,27,4705,4705,174.25925925925927,389.9773753390743,1.0,0.0,1.588235294117647,0.7952062255644572,3791475 window
225,1,51,1204,1204,23.60784313725489,45.690295876202235,1.0625,0.24462302739504083,3.6428571428571432,4.106414173294916,0 next_button
225,2,58,2935,2935,50.60344827586207,49.614280504770505,1.0,0.0,1.7058823529411764,0.9701425001453318,0 video_end
211,1,6,78,78,13.0,15.440207252495027,1.0,0.0,3.0,0.0,0 cooking_for
211,2,71,3866,3866,54.450704225352105,81.40529795542344,1.0289855072463767,0.16899482177531744,1.9722222222222223,1.5943849886597319,0 next_button
211,3,22,213,213,9.681818181818182,20.73732857763498,1.0476190476190477,0.21821789023599242,4.4,3.2093613071762426,0 cardView
221,1,124,3516,3516,28.35483870967742,43.52108050061779,1.0,0.0,2.7555555555555555,2.1442900452083893,0 next_button
209,1,60,2407,2407,40.11666666666666,40.214295319234424,1.0,0.0,1.8181818181818181,1.1579762911688183,0 video_end
124,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0 play_pause_button
124,2,50,3553,3553,71.06000000000003,117.26847097883676,1.0,0.0,1.8518518518518516,1.561648628452136,0 video_end
314,1,37,3225,3225,87.16216216216216,205.86113354955157,1.0,0.0,1.5416666666666665,0.832970935693524,1107104 v4
419,1,16,2780,2780,173.75,303.33446886234344,1.0666666666666667,0.25819888974716115,2.0,1.3093073414159542,2147483647 tab-r2
311,1,38,2736,2736,72.0,141.1008839783063,1.2258064516129032,0.5603378397214093,3.166666666666667,2.516611478423583,0 window
405,1,11,377,377,34.27272727272727,37.26148389179075,1.1,0.31622776601683794,1.8333333333333335,1.1690451944500122,186869 window
405,2,12,908,908,75.66666666666666,150.81254670094344,1.2,0.42163702135578396,1.7142857142857142,0.7559289460184545,19859 window
405,3,8,2653,2653,331.625,476.75388604304305,1.1428571428571428,0.37796447300922725,1.6,0.5477225575051661,843279 window
307,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,610447 window
307,2,35,4424,4424,126.40000000000002,214.493411389282,1.0606060606060606,0.2423058422987799,1.6666666666666665,1.0165300454651272,3338792 v4
307,3,3,13,13,4.333333333333333,5.131601439446884,1.0,0.0,3.0,0.0,947584 tab-finish
416,1,3,67,67,22.333333333333332,22.00757445365875,1.0,0.0,1.0,0.0,2147483647 tab-r2
416,2,52,2086,2086,40.115384615384606,64.78914634537868,1.625,1.2889105176778741,2.888888888888889,3.2155667122679557,2147483647 v1
316,1,12,1265,1265,105.41666666666666,179.94769863053054,1.5,0.5345224838248488,2.4,0.8944271909999161,2147483647 window
305,1,28,1909,1909,68.17857142857142,113.1675433025868,1.4,0.8825799501580879,2.545454545454546,2.1148823307047775,548806 v4
212,1,50,2976,2976,59.52,82.54676843821227,1.0,0.0,1.6129032258064515,0.9891888715790901,0 video_end
212,2,16,193,193,12.0625,18.112495686679956,1.0666666666666667,0.25819888974716115,3.2,2.16794833886788,0 play_pause_button
119,1,170,5070,5070,29.823529411764724,94.29667101750903,1.6666666666666665,0.8712496241553039,5.862068965517241,8.794170706987973,2147483647 v2
102,1,62,2468,2468,39.80645161290322,47.61107417317792,1.0163934426229508,0.128036879932896,2.1379310344827585,1.3017608385522195,0 next_button
204,1,54,2720,2720,50.37037037037037,54.07028839069282,1.0,0.0,1.9285714285714284,1.5617789341495933,0 video_end
418,1,39,2144,2144,54.97435897435897,94.93141213237426,1.0833333333333333,0.3683941988065038,2.7857142857142856,2.9659236835601988,111007 tab-r3
210,1,66,4410,4410,66.81818181818184,86.34722552950589,1.0,0.0,1.6097560975609757,1.1592680617632793,0 next_button
109,1,2,307,307,153.5,217.08178182427008,1.0,0.0,1.0,0.0,0 play_pause_button
109,2,77,3540,3540,45.974025974025984,79.60428017221284,1.0,0.0,2.6551724137931036,2.4680220835572175,0 next_button
313,1,75,2219,2219,29.58666666666666,73.31385572619573,1.3392857142857142,0.7693394029185795,3.75,5.339771333562594,766669 v4
201,1,35,415,415,11.857142857142856,19.92506972036345,1.0,0.0,5.0,3.265986323710904,0 next_button
201,2,53,3870,3870,73.01886792452831,102.76401094180592,1.0,0.0,1.7096774193548385,1.8831453898039272,0 next_button
214,1,64,1412,1412,22.0625,31.69391058632507,1.0,0.0,3.0476190476190474,1.961534870355112,0 next_button
214,2,28,123,123,4.392857142857143,3.9095257428991994,1.0,0.0,9.333333333333334,3.7859388972001824,0 next_button
208,1,57,2454,2454,43.05263157894737,77.71408703258547,1.163265306122449,0.42558483170760664,2.85,3.3603727863375368,0 back_button
312,1,47,2654,2654,56.46808510638298,66.34293352620281,1.0930232558139534,0.3660570791018473,1.740740740740741,1.456882672869412,2147483647 v4
312,2,12,454,454,37.83333333333333,66.81430621619532,1.3333333333333333,0.5,2.4,0.5477225575051661,2147483647 window
114,1,39,2222,2222,56.97435897435898,96.20550569087077,1.0,0.0,1.8571428571428572,0.9636241116594315,0 play_pause_button
101,1,61,1990,1990,32.62295081967212,48.944241722742085,1.0338983050847457,0.18252082497293806,2.44,1.416568624058385,0 next_button
410,1,52,5107,5107,98.21153846153842,273.52974792791423,1.1818181818181819,0.4457931146362431,2.6,3.3934922239021286,1933738 v2
202,1,61,1983,1983,32.50819672131147,42.11437717724581,1.0,0.0,2.259259259259259,1.4030897935132194,0 next_button
