id,participant_id,timestamp,pagetime,item,action,message
2251,109,"2017-08-20 19:21:27",0,play_pause_button,play,
2258,109,"2017-08-20 19:26:34",0,full_screen_button,fullscreen,
3059,425,"2017-08-22 17:31:32",24156,window,blur,
3060,425,"2017-08-22 17:31:36",27647,window,focus,
3061,425,"2017-08-22 17:31:37",28958,v1,play,"0 fullscreen=false"
3062,425,"2017-08-22 17:32:01",52403,v1,pause,"0 fullscreen=false"
3063,425,"2017-08-22 17:32:01",52506,v1,play,"0 fullscreen=false"
3064,425,"2017-08-22 17:32:02",53258,v1,pause,"0 fullscreen=false"
3065,425,"2017-08-22 17:32:03",53786,v1,play,"0 fullscreen=false"
3066,425,"2017-08-22 17:32:06",57610,window,blur,
3067,425,"2017-08-22 17:32:07",58297,v1,pause,"0 fullscreen=false"
3068,425,"2017-08-22 17:37:05",257589,window,blur,
3069,425,"2017-08-22 17:41:28",520510,window,focus,
3070,425,"2017-08-22 17:41:35",529102,window,blur,
3071,425,"2017-08-22 17:44:00",674464,window,focus,
3072,425,"2017-08-22 17:44:05",679779,window,blur,
3073,425,"2017-08-22 17:47:54",908403,window,focus,
3074,425,"2017-08-22 17:48:22",936756,window,blur,
3075,425,"2017-08-22 17:51:12",1105405,window,focus,
3076,425,"2017-08-22 17:51:20",1114431,tab-r2,click,
3077,425,"2017-08-22 17:51:26",1120210,tab-r3,click,
3078,425,"2017-08-22 17:51:27",1121800,tab-r1,click,
3079,425,"2017-08-22 17:51:28",1122633,tab-r2,click,
3080,425,"2017-08-22 17:51:30",1124363,tab-r3,click,
3081,425,"2017-08-22 17:51:31",1125128,tab-r2,click,
3082,425,"2017-08-22 17:52:08",1162297,window,blur,
3083,425,"2017-08-22 17:52:28",1182654,window,focus,
3084,425,"2017-08-22 17:52:40",1194186,tab-r1,click,
3085,425,"2017-08-22 17:52:46",1200540,tab-r2,click,
3086,425,"2017-08-22 17:52:48",1201205,tab-r3,click,
3087,425,"2017-08-22 17:52:50",1203580,tab-r2,click,
3088,425,"2017-08-22 17:53:40",1254542,window,blur,
3089,425,"2017-08-22 17:53:42",1256324,window,focus,
3090,425,"2017-08-22 17:54:12",1286963,window,blur,
3091,425,"2017-08-22 17:54:47",1321423,window,focus,
3092,425,"2017-08-22 17:54:56",1330728,tab-r3,click,
3093,425,"2017-08-22 17:55:03",1337087,tab-r2,click,
3094,425,"2017-08-22 17:59:03",1576578,window,blur,
3095,425,"2017-08-22 17:59:19",1593921,window,focus,
3096,425,"2017-08-22 18:00:38",1671709,tab-r3,click,
3097,425,"2017-08-22 18:02:53",1803986,window,blur,
3098,425,"2017-08-22 18:03:36",1850620,window,focus,
3099,425,"2017-08-22 18:03:38",1852947,window,blur,
3100,425,"2017-08-22 18:04:49",1919098,window,focus,
3101,425,"2017-08-22 18:04:53",1927971,window,blur,
3131,425,"2017-08-22 18:47:38",4487916,window,focus,
3132,425,"2017-08-22 18:47:39",4490578,v3,play,"0 fullscreen=false"
3133,425,"2017-08-22 18:50:22",4653998,tab-finish,click,
3134,425,"2017-08-22 18:50:26",0,window,finish,"425 finished cooking"
3218,407,"2017-08-22 22:00:41",0,play_pause_button,play,
3219,407,"2017-08-22 22:01:46",0,play_pause_button,play,
3220,407,"2017-08-23 08:06:17",0,play_pause_button,play,
3290,109,"2017-08-23 17:52:23",0,play_pause_button,play,
3292,109,"2017-08-23 17:56:00",0,play_pause_button,play,
3305,109,"2017-08-23 18:00:09",0,play_pause_button,pause,
3306,109,"2017-08-23 18:00:36",0,full_screen_button,fullscreen,
3307,109,"2017-08-23 18:00:38",0,full_screen_button,collapsed,
3311,109,"2017-08-23 18:02:14",0,play_pause_button,play,
3312,109,"2017-08-23 18:02:31",0,full_screen_button,fullscreen,
3313,109,"2017-08-23 18:03:04",0,full_screen_button,collapsed,
3317,109,"2017-08-23 18:04:57",0,select_recipe,choc_pots,
3318,109,"2017-08-23 18:05:12",0,experience_level,not_really,
3319,109,"2017-08-23 18:05:17",0,cook_reason,learn,
3320,109,"2017-08-23 18:05:22",0,cooking_for,2,
3322,109,"2017-08-23 18:05:45",0,not_quite_button,click,
3324,109,"2017-08-23 18:05:59",0,experience_level,not_really,
3325,109,"2017-08-23 18:06:01",0,cook_reason,learn,
3326,109,"2017-08-23 18:06:04",0,cooking_for,2,
3327,109,"2017-08-23 18:06:08",0,confirm_cook,click,
3330,109,"2017-08-23 18:06:43",0,next_button,click,
3332,109,"2017-08-23 18:06:46",0,back_button,rewind,
3334,109,"2017-08-23 18:06:47",0,back_button,rewind,
3335,109,"2017-08-23 18:06:56",0,back_button,rewind,
3336,109,"2017-08-23 18:06:57",0,back_button,rewind,
3337,109,"2017-08-23 18:07:05",0,back_button,rewind,
3338,109,"2017-08-23 18:07:13",0,play_pause_button,pause,
3339,109,"2017-08-23 18:07:18",0,cardView,toggle,
3340,109,"2017-08-23 18:07:25",0,cardView,toggle,
3341,109,"2017-08-23 18:07:27",0,cardView,toggle,
3342,109,"2017-08-23 18:07:28",0,cardView,toggle,
3343,109,"2017-08-23 18:07:32",0,back_button,rewind,
3345,109,"2017-08-23 18:07:33",0,back_button,rewind,
3347,109,"2017-08-23 18:07:42",0,full_screen_button,fullscreen,
3348,109,"2017-08-23 18:07:47",0,back_button,rewind,
3350,109,"2017-08-23 18:07:55",0,back_button,rewind,
3351,109,"2017-08-23 18:08:37",0,play_pause_button,play,
3352,109,"2017-08-23 18:08:41",0,full_screen_button,fullscreen,
3353,109,"2017-08-23 18:08:56",0,select_recipe,choc_pots,
3356,109,"2017-08-23 18:09:00",0,experience_level,not_really,
3358,109,"2017-08-23 18:09:04",0,cook_reason,learn,
3359,109,"2017-08-23 18:09:09",0,cooking_for,2,
3360,109,"2017-08-23 18:09:11",0,confirm_cook,click,
3364,109,"2017-08-23 18:10:04",0,play_pause_button,play,
3365,109,"2017-08-23 18:10:10",0,play_pause_button,pause,
3367,205,"2017-08-23 18:10:20",0,play_pause_button,play,
3368,109,"2017-08-23 18:10:20",0,play_pause_button,pause,
3369,109,"2017-08-23 18:10:37",0,cardView,toggle,
3370,109,"2017-08-23 18:10:47",0,cardView,toggle,
3371,109,"2017-08-23 18:10:52",0,play_pause_button,play,
3380,109,"2017-08-23 18:12:45",0,play_pause_button,pause,
3381,205,"2017-08-23 18:12:50",0,play_pause_button,play,
3382,109,"2017-08-23 18:12:52",0,cardView,toggle,
3383,109,"2017-08-23 18:12:57",0,next_button,click,
3384,205,"2017-08-23 18:13:08",0,full_screen_button,fullscreen,
3385,205,"2017-08-23 18:13:11",0,play_pause_button,pause,
3386,205,"2017-08-23 18:13:11",0,play_pause_button,play,
3387,205,"2017-08-23 18:13:18",0,select_recipe,mullet,
3388,205,"2017-08-23 18:13:29",0,experience_level,lots,
3389,205,"2017-08-23 18:13:32",0,cook_reason,dinner,
3390,205,"2017-08-23 18:13:34",0,cooking_for,2,
3394,109,"2017-08-23 18:14:58",0,cardView,toggle,
3396,109,"2017-08-23 18:15:03",0,cardView,toggle,
3397,205,"2017-08-23 18:15:35",0,confirm_cook,click,
3398,205,"2017-08-23 18:16:09",0,next_button,click,
3399,205,"2017-08-23 18:16:11",0,back_button,rewind,
3400,205,"2017-08-23 18:16:15",0,cardView,toggle,
3402,205,"2017-08-23 18:16:24",0,cardView,toggle,
3403,205,"2017-08-23 18:16:25",0,next_button,click,
3404,205,"2017-08-23 18:16:29",0,cardView,toggle,
3405,205,"2017-08-23 18:16:32",0,next_button,click,
3406,205,"2017-08-23 18:16:55",0,back_button,rewind,
3407,205,"2017-08-23 18:16:56",0,back_button,rewind,
3408,205,"2017-08-23 18:16:57",0,next_button,click,
3409,205,"2017-08-23 18:16:57",0,next_button,click,
3410,109,"2017-08-23 18:17:01",0,next_button,click,
3411,109,"2017-08-23 18:17:18",0,cardView,toggle,
3412,109,"2017-08-23 18:17:19",0,cardView,toggle,
3413,109,"2017-08-23 18:17:23",0,cardView,toggle,
3414,109,"2017-08-23 18:17:25",0,cardView,toggle,
3417,205,"2017-08-23 18:17:50",0,next_button,click,
3418,205,"2017-08-23 18:17:57",0,next_button,click,
3419,205,"2017-08-23 18:17:59",0,next_button,click,
3425,109,"2017-08-23 18:18:27",0,back_button,rewind,
3426,109,"2017-08-23 18:18:29",0,next_button,click,
3429,109,"2017-08-23 18:18:32",0,full_screen_button,collapsed,
3431,205,"2017-08-23 18:18:38",0,back_button,rewind,
3432,205,"2017-08-23 18:18:39",0,back_button,rewind,
3433,109,"2017-08-23 18:19:02",0,back_button,rewind,
3434,109,"2017-08-23 18:19:06",0,next_button,click,
