userid,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,mostFrequentItemAction
109,79,257396,257396,3258.177215189871,28521.065587566045,1.0,0.0,2.5483870967741935,2.4198995802501027,0 next_button
425,47,4734,4734,100.72340425531918,375.5240802866251,1.0217391304347827,0.14744195615489705,2.473684210526316,1.8369183449048445,1593921 window
407,3,36336,36336,12112.0,20922.332972209384,1.0,0.0,1.0,0.0,0 play_pause_button
205,64,2819,2819,44.046875,94.74852759881209,1.1428571428571428,0.48349377841522834,2.909090909090909,2.8100006932568355,0 next_button
121,64,2592,2592,40.5,124.16348669625636,1.0847457627118644,0.38453445176447437,3.3684210526315788,3.8327612082586313,0 next_button
112,83,3722,3722,44.843373493975896,93.58151291367574,1.0,0.0,3.074074074074074,2.7585660422920113,0 next_button
220,176,2005,2005,11.392045454545455,56.01489336971714,1.2137931034482758,0.6990688936061046,8.8,7.804182414442574,0 back_button
217,74,2207,2207,29.824324324324323,54.856065237791384,1.1384615384615384,0.4285485341870231,3.083333333333333,3.3868886153450077,0 next_button
113,41,1167,1167,28.463414634146346,67.72521596900802,1.025,0.15811388300841894,4.1,3.8715486421958962,0 next_button
401,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,2147483647 v1
